movie_title,genres,original_release_date,runtime,tomatometer_rating,audience_rating,tomatometer_status,audience_status,tomatometer_count,audience_count
Titanic,"Drama, Romance",19/12/1997,195,89,69,Certified-Fresh,Upright,192,35798
The Lord of the Rings: The Return of the King,"Action & Adventure, Classics, Science Fiction & Fantasy",17/12/2003,200,93,86,Certified-Fresh,Upright,275,34680
Spider-Man,"Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy",03/05/2002,116,90,67,Certified-Fresh,Upright,245,34297
Shrek 2,"Animation, Comedy, Kids & Family, Science Fiction & Fantasy",19/05/2004,92,89,69,Certified-Fresh,Upright,236,34233
Harry Potter and the Goblet of Fire,"Action & Adventure, Kids & Family, Science Fiction & Fantasy",18/11/2005,157,88,74,Certified-Fresh,Upright,255,34154
Gladiator,"Action & Adventure, Classics, Drama",05/05/2000,154,77,87,Certified-Fresh,Upright,199,34128
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe","Kids & Family, Science Fiction & Fantasy",09/12/2005,140,76,61,Certified-Fresh,Upright,218,34105
American Pie,Comedy,09/07/1999,95,61,61,Fresh,Upright,129,33782
King Kong,Action & Adventure,14/12/2005,187,84,50,Certified-Fresh,Spilled,267,33767
Star Wars: Episode III - Revenge of the Sith,"Action & Adventure, Drama, Science Fiction & Fantasy",19/05/2005,140,80,66,Certified-Fresh,Upright,299,33684
Mr. & Mrs. Smith,"Action & Adventure, Comedy, Mystery & Suspense",07/06/2005,120,60,58,Fresh,Spilled,214,33462
Rocky,"Drama, Sports & Fitness",21/11/1976,119,94,69,Certified-Fresh,Upright,65,33404
Finding Nemo,"Animation, Comedy, Kids & Family",30/05/2003,100,99,86,Certified-Fresh,Upright,266,33357
The Matrix,"Action & Adventure, Science Fiction & Fantasy",31/03/1999,136,88,85,Certified-Fresh,Upright,154,33324
Ace Ventura: Pet Detective,"Action & Adventure, Comedy",01/06/1993,86,49,57,Rotten,Spilled,61,33204
Meet the Fockers,Comedy,22/12/2004,115,39,58,Rotten,Spilled,162,33182
Pirates of the Caribbean: The Curse of the Black Pearl,"Action & Adventure, Science Fiction & Fantasy",28/06/2003,143,79,86,Certified-Fresh,Upright,219,33126
There's Something About Mary,Comedy,15/07/1998,118,83,61,Certified-Fresh,Upright,84,33122
Bruce Almighty,"Comedy, Science Fiction & Fantasy",23/05/2003,101,48,57,Rotten,Spilled,193,33024
Wedding Crashers,"Comedy, Romance",15/07/2005,119,76,70,Certified-Fresh,Upright,188,32962
Austin Powers in Goldmember,Comedy,25/07/2002,94,53,44,Rotten,Spilled,187,32935
2 Fast 2 Furious,"Action & Adventure, Drama, Mystery & Suspense",06/06/2003,108,36,50,Rotten,Spilled,160,32792
School of Rock,Comedy,03/10/2003,108,91,64,Certified-Fresh,Upright,199,32784
The Longest Yard,"Comedy, Drama",27/05/2005,113,31,62,Rotten,Upright,169,32774
The Day After Tomorrow,"Action & Adventure, Drama, Mystery & Suspense, Science Fiction & Fantasy",28/05/2004,123,44,50,Rotten,Spilled,221,32749
Pretty Woman,"Comedy, Romance",23/03/1990,114,63,68,Fresh,Upright,68,32709
Braveheart,"Action & Adventure, Classics, Drama",26/05/1995,177,78,85,Certified-Fresh,Upright,82,32708
50 First Dates,Comedy,13/02/2004,96,45,65,Rotten,Upright,176,32700
White Chicks,Comedy,23/06/2004,108,15,55,Rotten,Spilled,124,32692
Hitch,"Comedy, Romance",11/02/2005,117,69,62,Fresh,Upright,188,32624
The Incredibles,"Animation, Comedy, Kids & Family",05/11/2004,115,97,75,Certified-Fresh,Upright,248,32604
Ocean's Eleven,"Action & Adventure, Comedy, Drama",07/12/2001,116,82,80,Certified-Fresh,Upright,177,32602
Scary Movie,"Comedy, Horror",07/07/2000,88,53,43,Rotten,Spilled,116,32582
Kill Bill: Volume 1,"Action & Adventure, Mystery & Suspense",10/10/2003,110,85,81,Certified-Fresh,Upright,237,32558
Saw II,"Horror, Mystery & Suspense",28/10/2005,93,37,59,Rotten,Spilled,122,32525
War of the Worlds,"Action & Adventure, Science Fiction & Fantasy",29/06/2005,116,75,42,Certified-Fresh,Spilled,263,32519
Charlie and the Chocolate Factory,"Comedy, Kids & Family, Science Fiction & Fantasy",15/07/2005,115,83,51,Certified-Fresh,Spilled,231,32496
The Ring,"Drama, Horror, Mystery & Suspense, Romance",18/10/2002,115,71,48,Fresh,Spilled,207,32459
E.T. The Extra-Terrestrial,"Kids & Family, Science Fiction & Fantasy",11/06/1982,115,98,72,Certified-Fresh,Upright,130,32314
Sin City,"Action & Adventure, Drama, Mystery & Suspense",01/04/2005,124,77,78,Certified-Fresh,Upright,252,32223
8 Mile,Drama,08/11/2002,110,75,54,Certified-Fresh,Spilled,213,32168
Mean Girls,Comedy,30/04/2004,97,84,66,Certified-Fresh,Upright,189,32168
10 Things I Hate About You,Comedy,31/03/1999,97,69,69,Fresh,Upright,78,32105
Save the Last Dance,"Drama, Romance",12/01/2001,108,53,59,Rotten,Spilled,99,31846
A Cinderella Story,"Comedy, Drama, Kids & Family, Romance",16/07/2004,95,12,53,Rotten,Spilled,104,31660
